,,,
ЗКО,"""Дина""",говядина (лопаточно-грудная часть с костями),https://dinamarket.kz/ru/uralsk/item/1050100006
ЗКО,"""Дина""",мясо кур (бедренная и берцовая кость с прилегающей к ней мякотью),https://dinamarket.kz/ru/uralsk/item/1050200004
ЗКО,"""Дина""",капуста белокочанную,https://dinamarket.kz/ru/uralsk/item/2010100138
ЗКО,"""Дина""",картофель,https://dinamarket.kz/ru/uralsk/item/2010100019
ЗКО,"""Дина""",лук репчатый,https://dinamarket.kz/ru/uralsk/item/1091015401
ЗКО,"""Дина""",морковь столовую,https://dinamarket.kz/ru/uralsk/item/1090978438
ЗКО,"""Дина""","кефир 2,5% жирности в мягкой упаковке",https://dinamarket.kz/ru/121/item/3040200033
ЗКО,"""Дина""","масло сливочное (несоленое, не менее 72,5 % жирности, без наполнителей и растительных жиров)",https://dinamarket.kz/ru/uralsk/item/1090977504
ЗКО,"""Дина""","молоко пастеризованное 2,5% жирности в мягкой упаковке",https://dinamarket.kz/ru/uralsk/item/1090964535
ЗКО,"""Дина""",творог 5 – 9 % жирности,https://dinamarket.kz/ru/uralsk/item/3020100094
ЗКО,"""Дина""",яйцо куриное (I категория),https://dinamarket.kz/ru/uralsk/item/1091044533
ЗКО,"""Дина""","крупа гречневую (ядрица, весовая)",https://dinamarket.kz/ru/uralsk/item/4010200614
ЗКО,"""Дина""","рис шлифованный (круглозерный, весовой)",https://dinamarket.kz/ru/uralsk/item/1090107853
ЗКО,"""Дина""",рожки (весовые),https://dinamarket.kz/ru/aktobe/item/4040200388
ЗКО,"""Дина""",масло подсолнечное,https://dinamarket.kz/ru/uralsk/item/1091031467
ЗКО,"""Дина""",сахар белый – сахар-песок,https://dinamarket.kz/ru/uralsk/item/4020100022
ЗКО,"""Дина""","соль поваренная пищевая (кроме ""Экстра"")",https://dinamarket.kz/ru/uralsk/item/4020300003
ЗКО,"""Дина""",хлеб пшеничный из муки I сорта (формовой),https://dinamarket.kz/ru/uralsk/item/1040100171
ЗКО,"""Дина""",Мука пшеничная первого сорта,https://dinamarket.kz/ru/uralsk/item/4030100170
